name,playlist_id,mood,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,song_id,uri,track_href,analysis_url,duration_ms,time_signature,mood_encoded
Urgente Rock and Roll,7qVI0CoBARxSlkZtiN0A9o,Urgent,0.1363163371488033,0.2689963542584673,0.9090909090909092,0.5976607230492395,1.0,0.2843866171003717,0.6825396825396828,0.18181818181818166,0.28355837966640185,0.16044015758728436,0.737373158286992,audio_features,4Gy64kPK6SVwKdb4rs1emJ,spotify:track:4Gy64kPK6SVwKdb4rs1emJ,https://api.spotify.com/v1/tracks/4Gy64kPK6SVwKdb4rs1emJ,https://api.spotify.com/v1/audio-analysis/4Gy64kPK6SVwKdb4rs1emJ,0.43700686354867824,0.75,23
EMERGING ARTISTS - POP,6nmFVYglWgR5l1c1aZnmLb,Urgent,0.19007977800901835,0.0,0.7272727272727273,0.42434156715197124,1.0,0.9237918215613382,0.0,0.9592476489028212,0.3804606830818109,0.2935742426300774,0.15361872548136374,audio_features,58Dz8Beq1CIwMUM80P7wee,spotify:track:58Dz8Beq1CIwMUM80P7wee,https://api.spotify.com/v1/tracks/58Dz8Beq1CIwMUM80P7wee,https://api.spotify.com/v1/audio-analysis/58Dz8Beq1CIwMUM80P7wee,0.6315375508142701,0.5,23
Severance: Defiant Jazz,5cUmpLCpurCFuwSXEP2uLg,Defiant,0.1328477280610475,0.01045483640546583,1.0,0.3609929658105675,1.0,0.43122676579925645,0.6878306878306883,0.9561128526645768,0.3884034948371723,0.03151745686727348,0.7162594900942663,audio_features,1Lzv93xUuJMP28dDMVPOjm,spotify:track:1Lzv93xUuJMP28dDMVPOjm,https://api.spotify.com/v1/tracks/1Lzv93xUuJMP28dDMVPOjm,https://api.spotify.com/v1/audio-analysis/1Lzv93xUuJMP28dDMVPOjm,0.6187377362708327,0.5,3
Defiant Jazz Mix,37i9dQZF1EIfxS9iNmIkpj,Defiant,0.17793964620187305,0.19014443815690601,0.09090909090909091,0.30394241779813513,1.0,0.20817843866171004,0.9523809523809526,0.6269592476489025,0.25734710087370927,0.03926096997690532,0.639364132971884,audio_features,1Rg5A2IKrEg2TbsrHsMZrY,spotify:track:1Rg5A2IKrEg2TbsrHsMZrY,https://api.spotify.com/v1/tracks/1Rg5A2IKrEg2TbsrHsMZrY,https://api.spotify.com/v1/audio-analysis/1Rg5A2IKrEg2TbsrHsMZrY,0.8491012808093853,0.5,3
THE DEFIANT ONES,2TkDbFhhFlha8Vk626f9u5,Defiant,0.1345820326049254,0.003719955100791303,0.0,0.0655570096515623,1.0,0.3215613382899628,0.7830687830687832,0.9561128526645768,0.37251787132644953,0.12647738079065346,0.7099859952006946,audio_features,1hE4uBGIfigYTxG8egwMQd,spotify:track:1hE4uBGIfigYTxG8egwMQd,https://api.spotify.com/v1/tracks/1hE4uBGIfigYTxG8egwMQd,https://api.spotify.com/v1/audio-analysis/1hE4uBGIfigYTxG8egwMQd,0.7143637763592557,0.0,3
I Am Defiant Radio,37i9dQZF1E8F1peRO6273O,Defiant,0.2559833506763788,0.021586871619803893,0.6363636363636364,0.22423523638148213,1.0,0.19516728624535318,0.9576719576719581,0.9184952978056424,0.40428911834789505,0.19440293438391523,0.1738151202692853,audio_features,3PzyB6DsbfPbiKS0COHjRk,spotify:track:3PzyB6DsbfPbiKS0COHjRk,https://api.spotify.com/v1/tracks/3PzyB6DsbfPbiKS0COHjRk,https://api.spotify.com/v1/audio-analysis/3PzyB6DsbfPbiKS0COHjRk,0.7491699990892756,0.5,3
The Defined Dish,6cfLFAtYuL9s0waYPZDCr9,Defiant,0.23690600069372184,0.01286677736857241,0.18181818181818182,0.0,1.0,0.4776951672862453,0.8624338624338623,0.9310344827586206,0.39634630659253367,0.005026490965901374,0.16854898813277536,audio_features,5iyJdB9n5r3Ud8OR0Lwy0X,spotify:track:5iyJdB9n5r3Ud8OR0Lwy0X,https://api.spotify.com/v1/tracks/5iyJdB9n5r3Ud8OR0Lwy0X,https://api.spotify.com/v1/audio-analysis/5iyJdB9n5r3Ud8OR0Lwy0X,0.7183875214227168,0.75,3
Brooding Mix,37i9dQZF1EIh0vhUTrH9XR,Brooding,0.1328477280610475,0.005974192231694759,0.6363636363636364,0.03001799443808273,1.0,0.39219330855018586,0.8465608465608465,0.8244514106583072,0.41223193010325654,0.008286917538377937,0.7246705596186764,audio_features,3qfofCNp0UgwHKmgM1EJ6A,spotify:track:3qfofCNp0UgwHKmgM1EJ6A,https://api.spotify.com/v1/tracks/3qfofCNp0UgwHKmgM1EJ6A,https://api.spotify.com/v1/audio-analysis/3qfofCNp0UgwHKmgM1EJ6A,0.7060844655290893,0.75,1
Brooding Classical Mix,37i9dQZF1EIhw4XnRp9P1l,Brooding,0.2039542143600416,0.12149688766848799,0.2727272727272727,0.4548912154424998,1.0,0.24721189591078063,0.947089947089947,0.7210031347962382,0.37251787132644953,0.010188833038989265,0.15523214388088552,audio_features,0oWPj0l614RgAId5vgJonC,spotify:track:0oWPj0l614RgAId5vgJonC,https://api.spotify.com/v1/tracks/0oWPj0l614RgAId5vgJonC,https://api.spotify.com/v1/audio-analysis/0oWPj0l614RgAId5vgJonC,0.6569633143737114,0.75,1
bitter/sweet,37i9dQZF1DWYPN7VhE3PnY,Brooding,0.006416926812348234,0.0035900813566240256,0.09090909090909091,0.28341239980369703,1.0,0.33457249070631967,0.7566137566137563,0.9090909090909092,0.35663224781572667,0.03776660779785356,0.2265829108688709,audio_features,5zQm7n2ahnvGa3ntYy569W,spotify:track:5zQm7n2ahnvGa3ntYy569W,https://api.spotify.com/v1/tracks/5zQm7n2ahnvGa3ntYy569W,https://api.spotify.com/v1/audio-analysis/5zQm7n2ahnvGa3ntYy569W,0.9999999999999999,0.75,1
Brooding,6gVCOfXPUCxRutLVGTzVoK,Brooding,0.1432535553243149,0.0048980954943087475,1.0,0.31396204809422534,1.0,0.34944237918215604,0.9788359788359786,0.5548589341692787,0.8490865766481335,0.0426572476565684,0.7069229572239377,audio_features,7kabmQdunJ6Jk5PAeTSwtL,spotify:track:7kabmQdunJ6Jk5PAeTSwtL,https://api.spotify.com/v1/tracks/7kabmQdunJ6Jk5PAeTSwtL,https://api.spotify.com/v1/audio-analysis/7kabmQdunJ6Jk5PAeTSwtL,0.6398499788877573,0.5,1
Brooding Music,2rZlslDFaBAtbhVB1T7rtT,Brooding,0.052202566770724934,0.5760549922539588,0.18181818181818182,0.7115573368231638,1.0,0.16728624535315983,0.28042328042328,0.0,0.2613185067513899,0.028392881401983434,0.16002325943276458,audio_features,1OraD6cUqvKrh8A5skqtBh,spotify:track:1OraD6cUqvKrh8A5skqtBh,https://api.spotify.com/v1/tracks/1OraD6cUqvKrh8A5skqtBh,https://api.spotify.com/v1/audio-analysis/1OraD6cUqvKrh8A5skqtBh,0.9223814609671889,0.5,1
Aggressive Mix,37i9dQZF1EIgPVLKHBH43C,Aggressive,0.12591050988553593,0.02399881258291047,0.36363636363636365,0.5060935710780303,1.0,0.21747211895910779,0.746031746031746,0.8777429467084636,0.3486894360603653,0.05271022958837115,0.1308179294190875,audio_features,14sRXDn38uhpfk65uVeJsW,spotify:track:14sRXDn38uhpfk65uVeJsW,https://api.spotify.com/v1/tracks/14sRXDn38uhpfk65uVeJsW,https://api.spotify.com/v1/audio-analysis/14sRXDn38uhpfk65uVeJsW,0.5097074919483701,0.75,0
Aggressive Rap Mix,37i9dQZF1EIesbtlhD4Mon,Aggressive,0.21089143253555323,0.01787619321502454,0.2727272727272727,0.32524946834614754,1.0,0.4628252788104088,0.6084656084656084,0.9561128526645768,0.3010325655281969,0.4158402390979487,0.6785611911450355,audio_features,5tMn4xcTABTh3jLR3l29Ok,spotify:track:5tMn4xcTABTh3jLR3l29Ok,https://api.spotify.com/v1/tracks/5tMn4xcTABTh3jLR3l29Ok,https://api.spotify.com/v1/audio-analysis/5tMn4xcTABTh3jLR3l29Ok,0.32098060157472486,0.5,0
Aggressive Heavy Metal Mix,37i9dQZF1EIetewBshGEPK,Aggressive,0.12937911897329174,0.0006029852407766453,0.18181818181818182,0.3528954686733192,1.0,0.6152416356877323,0.4761904761904763,0.9623824451410656,0.3407466243050039,0.05243852737399809,0.7137287982899403,audio_features,1NuVo3UQnj0O6ocHH3UjDT,spotify:track:1NuVo3UQnj0O6ocHH3UjDT,https://api.spotify.com/v1/tracks/1NuVo3UQnj0O6ocHH3UjDT,https://api.spotify.com/v1/audio-analysis/1NuVo3UQnj0O6ocHH3UjDT,0.6414230479454889,0.75,0
AGGRESSIVE RAP & DRILL,6TdwI7cta593HMPCET6Xkx,Aggressive,0.0,0.024369880423388408,0.4545454545454546,0.10154588581711121,1.0,0.2434944237918215,0.8677248677248679,0.7742946708463951,0.25893566322478145,0.09251460399402256,0.15074405615023628,audio_features,1DiSzonwA6obAjQSbz1vAx,spotify:track:1DiSzonwA6obAjQSbz1vAx,https://api.spotify.com/v1/tracks/1DiSzonwA6obAjQSbz1vAx,https://api.spotify.com/v1/audio-analysis/1DiSzonwA6obAjQSbz1vAx,0.8219948171514203,0.75,0
AGGRESSIVE PHONK 😈,0cGc6F0S1jAqTlHYKE8rvZ,Aggressive,0.1432535553243149,0.10572650444817573,0.0,0.3158841812530673,1.0,0.47026022304832715,0.5238095238095237,0.9278996865203761,0.3407466243050039,0.040891183263143595,0.7078893702754279,audio_features,6Ao0ELZFd7KwZFFAxm2lYP,spotify:track:6Ao0ELZFd7KwZFFAxm2lYP,https://api.spotify.com/v1/tracks/6Ao0ELZFd7KwZFFAxm2lYP,https://api.spotify.com/v1/audio-analysis/6Ao0ELZFd7KwZFFAxm2lYP,0.32098060157472486,0.75,0
